rating,date,snippet
2.0,seminggu lalu,"Ya seperti yg sudah pernah d ulas sblmnya sm yg lain

Kafe ini mmg cocok gen Z yg hanya sekedar nongkrong hangout ngopi dll

Tapi jgn pernah tanya soal rasa / kualitas makanannya

Karena mmg bukan cheff yang masak
Mesen hidangan aja anyep baru dateng dalam hati ku ini kapan masaknya?

Ya sbnrnya itu faktor penting tp mgkn mereka cuek karena mmg ini franchise sih"
2.0,7 bulan lalu,"Ayam Bakarnya rasanya pahit gosong bakarannya, bumbunya kurang.

Yang bawa Kopi dan wedang Jahe Kepruknya banjir alias tumpah2 di Lepek gelasnya.

Es tape lumayan enak,
Mie dokdoknya enak.

Pisang goreng dan pisang bakar kejunya biasa saja.

Pesan Kentang goreng gak datang2, saat beranjak pulang juga tak nampak itu kentang goreng. Akhirnya kita samperin ke kasir, kata kasirnya udah ready, ya udah kita minta dibungkus dibawa pulang saja, lhhaa kok tunggu bungkusnya aja superrr lama bingit gesss..
Kirain bungkus pakai daun atau apa kok lama bgt, ternyata cuma pakai bungkus kertas makanan aja lama bangettt.

Suasananya ramaaaiii banget tapi kasirnya cuma 1 jadi laaammaaaa buuuaanggeett.

Saran, mendingan customer ambil menu dan tulis orderan dikertas sambil cara tempat duduk, setelah itu baru ke kasir bayar, jadi depan kasir tuh gak antri panjaaangg."
5.0,10 bulan lalu,"Aku udah beberapa kali nongkrong di Basa Basi Concat buat ngerjain tugas, dan menurutku harganya worth it banget sama kantong mahasiswa. Bisa jadi opsi tempat nongki murah selain coffeeshop. Tempatnya luas banget, mulai dari lesehan sampai duduk di kursi ada, cuma memang ada beberapa yang kurang srek menurutku.

Pertama, waktu pekan lalu aku kesini, cari tempat kosong yang ada stop kontak buat nugas, eh ternyata masih ada bekas minum kopi orang sebelumnya. Sampe aku yang bersihin sendiri sebelum ada karyawan yang bersihin 😅. Terus, kalau udah malem ada sekelompok orang main ML, aku gak masalah mereka main, cuma mereka sampe teriak-teriak jadi bikin sekitar merasa terganggu 😭🙏🏻.

Kebersihan WC-nya juga perlu diperhatikan, soalnya ada yang bau pesing 😩. Untuk karyawan dan kasir, pelayanannya bagus banget. Menunya juga banyak. Menu andalanku di sini nasi goreng, susu jahe hangat, dan mie pastinya 👍🏻. Pembayaran bisa cash dan non-cash, jadi aman banget buat yang cashless.

Tempat ini overall recommended, tapi semoga kedepannya kebersihan lebih diperhatikan dan bisa ada aturan soal berisik biar semua nyaman."
5.0,2 bulan lalu,"Kafe Basabasi Concat punya vibes yg cozy & cocok buat santai ato ngerjain tugas. Tempatnya luas, suasana tenang, apalg klo malem makin asik buat ngobrol. Minuman cukup variatif, ada kopi, non-kopi, dan minuman klasik kyk root beer yg disajiin dingin pake es, makin seger! Makanannya juga oke, tp msh bisa ditingkatin lg. Pelyanan lumayan, tp klo lg rame agak lama nunggu. Overall, tempat ini rekomen buat yg nyari suasana santai dgn konsep industrial yg keren. Klo cari tempat buat chill ato kerja, ini bisa jd opsi yg oke! ☕🍻"
1.0,seminggu lalu,"Semenjak di renovasi, pelayanan nya kurang baik.
Di google tutup jam 2 tetapi baru jam 1 sudah di usir oleh mba mba kasir nya.
Dan lampu langsung di matikan sehingga untuk kemas laptop dan barang kita lain nya tidak bisa karena gelap.
WiFi juga ikut mati semua lampu kafe mati dan gelap gelapan."
4.0,9 bulan lalu,"Barangkali sebagai tongkrongon anak muda atau bagi yang tidak bertendensi makan lapar, kafe ini bisa jadi pilihan terbaik karena banyak tempat duduknya dan luas banget. Meskipun menu nya sangat banyak, tapi banyak yang kosong (apa karena saya datangnya sore kali ya?). Tapi kopi nya sangat enak, serius meskipun dengan harga yang relatif murah tapi rasanya otentik."
1.0,seminggu lalu,Untuk pelayanan nya kurang sekali. jika akan tutup cafe sharusnya tidak langsung dimatikan lampunya jadi konsumen tidak bisa untuk mengemaskan barang bawaanya dan jikalau akan tutup harus diberitahukan tidak langsung matiin wifi apalagi lampu
4.0,2 bulan lalu,"Menunya sama kaya di Basabasi lain, tapi di sini dekat sawah. Malem hari di sini, duduk paling pojok sambil denger suara kodok enak banget."
5.0,setahun lalu,"Tempatnya lumayan untuk nongkrong dan mengerjakan tugas.

Hampir disetiap meja ada fasilitas stop kontak, jadi jangan kuatir kalau laptop kalian kehabisan baterai.

Untuk menu makanan dan minumannya lumayan variatif.

Dan untuk harga menurut saya cukup affordable."
5.0,3 tahun lalu,Kafe yang asik untuk nongkrong bareng temen atau pasangan. Banyak kursi yang tersedia di depan atau belakang. Ada juga tempat duduk yang out door. Untuk penerangan memang agak remang dan kurang jelas seperti saat duduk dan melihat buku menu. Warna lampunya kuning. Tetapi sangat enak untuk menikmati malam karena tidak silau. Parkiran luas untuk mobil dan motor. Menunya juga banyak. Untuk harga relatif.
