rating,date,snippet
5,sebulan lalu,"Leci squashnya enak dan segar. Dapat 1 leci.
Bisa pesan di meja saat duduk (online) tapi bayar lewat qris, nanti pesenannya datang.

Banyak varian makanan dan minuman, harganya jg murah-murah. Klo disini cocoknya buat nongkrong. Karna suasannya rame kalo malem.

Tempatnya luas, bisa di pendopo, lesehan. Kebersihannya jg lumayan si. Kalo rame mungkin nunggu 10-30 menit pesenannya.

Ada musholla dan toilet. Tempat parkir motor cukup lumayan luas. Parkir motor 2k. Kalo mobil saya kurang tau.

Terima kasih yaa, semoga kualitas makanan/minuman/pelayanan/tempat semakin meningkat."
4,2 bulan lalu,"kalo bingung mau kemana ujung-ujungnya pasti kesini, karna emang senyaman ituuu buatt nongkii ampee malem ngerjain tugas gitu

makanannya murah, enak, sgt amat rekomenn
huhuhu pict nya dah pada ilangg, padal menunyaa lucuu"
5,4 bulan lalu,"harga mahasiswa, rasanya enakk, porsi jumbo tempat nongkrong asik sampai tengah malam"
4,8 bulan lalu,"Bingung pas lagi di Jogja mau nyari kafe yang deket kosan, akhirnya memutuskan buat nyoba kafe yang sebenernya sudah ada sedari dulu dan baru kali ini saya berkunjung.

Di sini saya pesan jus semangka yang menurut saya enak, ada crunchy-crunchy-nya dan manisnya pas. Untuk makanan saya tidak sempat memesan.

Ruangannya juga menurut saya luas, banyak tersedia tempat duduk, baik yang di gazebo maupun yang di depan kasir.

Kekurangannya hanya ada di wifi, yang walaupun pengunjung kafe tidak terlalu banyak tapi wifi tidak bisa tersambung. Sudah minta tolong ke pegawai namun tetap tidak bisa. Mungkin bisa ditambah sedikit bandwithnya biar semua pengunjung yang datang juga bisa menikmati pelayanannya."
1,6 bulan lalu,"Tolong lebih di perhatikan lagi proses pembuatan dan penyajian makanannya sebelum diberikan ke customer, atau lebih baiknya penggunaan barang dapur nya di cek dulu. Sebab ada besi tipis yang sepertinya kawat pencuci nyelip di makanan saya."
5,2 bulan lalu,"temenku mesenin mi dog dog dikasi notes, pedes brutal, ga expect akan sepedes itu, enak bangetttt, love mas mba😭🫰"
5,setahun lalu,"Makanan dan minuman lumayan oke, bersih dan penyajiannya cepat.
Lyanan okee, tapi agak lambat tiap datang bnyak meja yg lama di bersihkan.
Suasananya ramai tp masih nyaman untuk nugas, soket listrik banyak di dinding sebelah kiri tp semuanya ga berfungsi, syg bgt hehe"
5,5 bulan lalu,"Harga terjangkau, tempat lumayan nyaman, kalau malam minggu sering ada live music mantap"
2,6 bulan lalu,Harga kopinya murah. Cocok buat mahasiswa. Rasa biasa aja. Ga ada wifi. Bisa connect tapi ga bisa buka apapun. Kalau mau pakai wifi harus bayar ekstra
5,sebulan lalu,"Cocok bgt buat ngumpul2 atau kerja kelompok, udh langganan bgt sih disini. Kursinya banyak, ada toilet sm mushola juga, harganya msh sangat terjangkau. Recommend🫶🏻🤩"
