rating,date,snippet
3.0,2 bulan lalu,"Suasana nya enak banget disini sore menjelang malam (apalagi setelah hujan) pokoknya sejuk banget

Pertama yg di kasir (tempat pemesanan) si Mas nya, terus ganti ke si Mbak (gatau karena kami pesennya agak lama atau gimana tapi muka mas nya rada kurang senyum🙏) untuk harga ya standar lah menurutku

Tempat didalamnya luas, ada yg bangku atau lesehan juga bisa. Untuk area khusus tanpa asap rokok juga bisa. Mungkin untuk lesehan bisa ditambah bean bag nya karena jujur saja kalo cuma bantal gitu masih berasa dingin e. Kemudian ada beberapa bean bag yang sobek juga, jadi isinya berserakan kemana-mana itu mungkin bisa di ganti atau paling ngga diperbaiki aja bisa.

Ada toilet juga mushola. Toilet nya yg paling ujung agak kotorrr, terus yg tengah bau bangetttt.

Tempat parkir luas, buat untuk mobil dan motor. Terus bapak parkir nya juga ramah banget, ngebantuin ngeluarin motor juga

Overall lumayan lah. Thanks Bento Kopi Godean ✨"
3.0,sebulan lalu,"buat rasa minumannya standar karena memang harganya terjangkau (jujur yg chocolate almond rasanya kaya artificial bgt😭), tapi tempatnya lumayan sejuk siii karena disamping kanan kirinya masih banyak sawah

kayanya ini bento yang paling kerasa vibes outdoornya karena banyak hijau hijau dan applause buat tukang parkirnya krn pas kmrn hujan, helm kita diplastikin biar ga keujanan hoho🤏🏻

cuma disini mushollanya kurang nyaman karena bau bgt (bau apek dari mukena), kamar mandinya juga gelap, dan lantai cafenya banyak tisu berserakan, terus jugaa rumput” disini uda pada panjang, semoga bisaaa diperbaiki lagi yaa

~enjooyyy!"
5.0,4 bulan lalu,"Tempat AC nya Nyaman, pilihan makanannya banyak juga
cocok buat berlama-lama mengerjakan tugas recommended buat pelajar"
5.0,2 bulan lalu,"Tempatnya enak...harganya bersahabat dengan mahasiswa..nyaman untuk mengerjakan tugas sampai larut malam.
Sukses terus untuk bento Godean ✨"
4.0,sebulan lalu,"Langganan nongkrong ke jogja

Sekarang gak bisa pesan minuman yang hot jadi kalo kesini harus minum dingin
Padahal kalo malam hari enaknya yang panas"
5.0,2 bulan lalu,"parkiran luas, staffnya ramah-ramah kok, sekarang ruang indoornya Acnya udah waras we, udah kerasa dinginnya, sempet baca ulasan katanya Acnya ga kerasa...ini udah diservice kayaknya bro! sini o lagi udah dingin....bapak parkirnya juga baik pol, makasi buat mas kitchennya juga udah dikasih topping melimpah gini😱"
4.0,3 minggu lalu,"pertama kali dateng ke tempat ini, syok dengan pelayanan nya yang super duper ramah banget. suasananya cukup syahdu"
1.0,3 bulan lalu,"Matcha rasa susu doang , gaada rasa matcha sama sekali , dan manissss bgt . Roti gosong sampe pait , gabisa dimakan"
5.0,2 bulan lalu,"Tepat luas nyaman dan adem, pas sekali buat kalian yang mau nugas, kerkom dan hanya sekedar nongkrong bareng konco konco. Pelayanannya juga baik karyawan nya ramah ramah"
5.0,7 bulan lalu,"Menemukan ini krn rekomendasi temen dan langsung jadi favorit krn akhirnya bisa gak AC-an tapi tetep nugas dengan ademmm, bisa liat sawah, apalagi pas sunset bagus bangeeeet. Dan playlistnya hampir selalu Hindia tiap kali aku kesini wkwk (sukaaa!). Berharap ada bento kaya gini di dekat tempat tinggal, krn sejujurnya ini jauh btul dari aku jd gabisa sering2. Minusnya mungkin di musola dan WC, akan lebih mantep kalo lebih bersih dan wangi. Tp scr keseluruhan udah oke, servicenya juga ramahhh 🙌"
5.0,4 bulan lalu,"Enak buat kerja , harga terjangkau jadi klo lama bisa pesen pesen lagiii…kopi susunya mantep…"
3.0,8 bulan lalu,"Tukang parkir tidak bekerja secara maksimal karena tidak membantu mengeluarkan motor pengunjung. Mau pesan nasi disuruh nunggu lama hingga 1 jam an katanya nasi belum dikirim. Harapannya semoga selalu tersedia untuk menu nasi, karena waktu itu masih di jam2 7 malam. Bisa dibilang tempat ini cukup murah menunya dibandingkan tempat kopi yang lain. Selain itu menunya jga banyak dan beraneka macam pilihannya, mulai dr makanan ringan hingga berat. Tempatnya luas ada indoor dan outdoor. Tukang parkir tidak bekerja secara maksimal karena tidak membantu mengeluarkan motor pengunjung"
5.0,6 bulan lalu,"kesini karena meetup sama temen2, worth it sih tempatnya luas xixi untuk harga yaaa gak mahal2 amat tp banyak menu yg kosong"
5.0,7 bulan lalu,"Menu Makanan cukup bervariasi, jenis minuman ada yg ice dan panas/hangat. Tempat parkir sangat luas dapat menampung banyak kendaraan"
5.0,setahun lalu,"Space tempatnya luas, mulai dari parkiran - area duduk/santai - kamar mandi - mushola. Jadi walaupun rame ga crowded. Pilihan menunya banyak dan bervariasi. Harganya juga terjangkau dan rasanya oke, tingkatkan.

Bisa milih tempat indoor (AC) atau outdoor. Di luar juga udaranya semilir karena di tengah sawah hihi. Pelayanan juga cepat. Cocok buat santai atau hangout santai sama teman.

Nemu kucing lucu banget haha 🐈"
5.0,5 bulan lalu,"Recomended banget buat kalian yang mau nugas"" tempatnya nyaman, luas, layanan nya juga oke bangett"
5.0,4 bulan lalu,"Awal masuk bilang pesen 2 Choco Hazelnut.. tapi mas nya salah nginput jadi 2 Coffe Hazelnut. Terus aku dateng, mau pesen choco hazelnut . Eh dpt ganti 2 choco hazelnut (gausah bayar lagi).. Makasih ya mas bento 🤣🫶🏻"
1.0,2 bulan lalu,"staffnya ngerjain customer apa emng niat maling🤣hp tmn gw dicariin udh tanya berkali"" pas diminta liat cctv baru dikasihin mana nyolot bgt🤣🤣"
4.0,setahun lalu,"Harga makanan dan minuman relatif murah
Parkir luas
Ada mushola (tp sajadahnya bau apek, maaf)
Tapi toulet kurang bersih

Caffe latte nya recomended
Mix platter lumayan (lupa gak fotoin)
Roti bakar coklat keju jg enak lupa gak sempat fotoin juga)
Rice bowl egg teriyaki agak asin (maaf)"
2.0,6 bulan lalu,Toletnya kotor ga ada penguncinya makanya kurang di menunya nasi telur sambal dabu dabu setau saya sambal dabu itu seperti sambal matah ini cuma cabai di potong di tuain minyak panas aja mana telurnya aslin bgt tolong di perbaiki lagi jadi kapok ke sana
