rating,date,snippet
4.0,4 bulan lalu,"Tempat nyaman dan bagus, banyak pilihan tempat duduk. Dari indoor ac, bean bag, meja biasa outdoor.
Turunan ke tempatnya cukup curam, sedikit riskan kepeleset.
Makanan enak, harga terjangkau, proses cepat."
5.0,4 bulan lalu,"Setelah renovasi baru kesini dan ternyata lebih fresh, rapi & luas. Ada indoor AC yang dindingnya pake kaca jadi bisa liat sungai disebelahnya sambil WFC. Punya kolam ikan besar dan pengunjung boleh ngasih makan ikan secara dekat

WI-FI lumayan kencang, musholla & toilet juga ada. Harga menu juga masih terjangkau! Topp"
5.0,3 bulan lalu,"Untuk makanan seperti dicabang lain, lumayan untuk hrga yg sangat terjangkau. Tapi untuk kopinya masih failed buatku, sm kyk di cabang lain. Kopinya kurang berasa dan gulanya banyak banget pdhl minta less sweat.
Untuk suasana, benti jakal ini lebih oke dari bento klebengan dan bento pandega yg pernah ku kunjungi, soalnya ada kolam ikan dan banyak pohon dri kolam sebelah."
3.0,3 bulan lalu,"Huhu banyak lalat berterbangan sampek masuk minum ku padahal baru minum dikit bgt masih bnyak wehh 🥲

Sebenrnya tempatnya nyaman2 aja (kalo ga hujan) kalo hujan tetep basah walaupun udh di bawah atap🙃"
5.0,2 bulan lalu,"tempatnya luass, ada indoor n outdoor, pilihan menunya pun banyakk, cocok bgt buat nongki / nugas"
4.0,5 bulan lalu,"tempat nyaman buat nongkrong bareng temen temen, ada ruang outdoor dan indoor. cocok buat tempat nugas, ada stop kontaknya. menu seperti cabang lainnya, harga pelajar dan lumayan."
1.0,4 bulan lalu,"Tak bintang 1 karna ak berkali2 ke Bento mau nyanyi tapi gk pernah jadi2 gara2 tukang parkir yg ini nyanyi mulu banyak bgd lagunya minimal 3-5 lagu sampe waktu musisi tampilnya mau selesai. Dari 3 tahun lalu mesti aja tukang parkir yg ini gk prnh gk nyanyi njerrr.. klo nyanyi cuma 1-2 lagu gk masalah.. tp klo ini gk liat sikon bgd, kan ya tukang parkirnya udh biasa nyanyi disitu mbok ya berbagi sama yg pengunjungnya jgn egois anjerrr, klo mau nyanyi banyak ya ke tempat karaoke sewa, jgn samain donk di bento sama tempat karaokean. Males bgd anjer mw ke bento lg udh sepet bgd berkali2 begitu mulu kang parkir yg ini. Mending musisinya aja yg nyanyi dari awal sampe akhir, ngasih waktu buat pengunjung jamming malah kang parkir doank yg nyanyi sampek akhir kyk dia yg punya 🤣"
3.0,2 bulan lalu,"Mohon ditingkatkan lagi kak untuk meja banyak yang masih kotor belum dibersihkan,sudah menunggu lama karena pergantian shift kami maklumi,namun makanan over cook ke arah mau gosong dan rasa tidak fresh juga banyak lalat padahal suasana nya mendukung asri  & segar karena banyak pepohonan & dekat sungai."
4.0,9 bulan lalu,"Bento Jakal tuh beneran tempat yang nyaman banget buat nongkrong, baik di dalam ruangan AC atau di luar. Di setiap meja, ada colokan listrik, jadi bisa banget sambil ngecas gadget. Kalau lagi nggak terlalu ramai, penyajian makanan dan minuman juga cepat. Kalau ada antrian, bakal dikasih nomor dan nanti bisa diambil sendiri minumannya. Cuma kadang suka nggak ada uang kembalian, jadi kalau bisa, bawa uang receh atau pakai QRIS biar lebih gampang.

Fasilitasnya lengkap juga, ada dua kamar mandi, kran buat wudhu di luar, dan musholla yang disediakan sajadah serta mukena. Tapi, mukena dan sajadahnya sebaiknya sering dicuci biar tetap wangi, atau bawa sendiri aja kalau mau lebih nyaman. WiFi di sini kencang kalau nggak terlalu banyak orang, tapi kalau lagi penuh banget, bisa agak lemot.

Kelebihan utama Bento Jakal jelas harga yang terjangkau. Menu-menu di sini ramah di kantong, cocok buat yang pengen santai-santai tanpa perlu keluar duit banyak. Pilihan menunya juga beragam, mulai dari kopi, makanan ringan, sampai makanan berat, jadi pasti ada yang sesuai selera.

Tempatnya luas dengan area indoor dan outdoor. Kita bisa pilih duduk di dalam kalau mau suasana tenang atau di luar buat nikmatin udara segar. Ada kolam ikan juga yang bikin suasana makin asik dan menenangkan.

Tapi, nggak semua pengalaman di sini mulus, ada beberapa hal yang bikin kecewa. Nggak ada tisu, pelayanan lama banget, dari sebelum maghrib sampai habis isya. Minum harus ambil sendiri, dan snacknya ternyata nggak ada. Maaf ya, ini review jujur aja.

Overall, Bento Jakal punya banyak kelebihan yang bikin betah, tapi ada beberapa hal yang perlu diperbaiki. Semoga bisa lebih baik lagi ke depannya!"
2.0,9 bulan lalu,"Sebenarnya tempatnya enak. Tapi aku datang jam 10 belum pada siap. Katanya sih abis briefing. Air panas belum ada jadi cuma bisa pesen yang dingin. Makanan berat baru ada jam 1 padahal aku datang buat nyarap niatnya. Sayang sekali, kurang profesional pengelolaannya."
