rating,date,snippet
2.0,4 bulan lalu,"Untuk renovasi bangunannya saya apresiasi karena 1-2 tahun yang lalu masih jauh dari kata bagus, ini meningkatkan para pelajar dan penggarap tugas jadi makin betah karena adanya AC yang membuat suasana jadi dingin, tetapi disarankan yang mau lama lama disini bawa headset karena musiknya kenceng😅.

Untuk servisnya, tadi saya pesan 5 menit sebelum waktu istirahat mungkin.. jam 15.20. saya pesan tapi daya bawa menunya di meja. setelah saya bawa ke kasir lagi tulisan kasir berubah menjadi “Istirahat” yang berarti saya harus menunnggu waktu 25 menitan🥲. Mungkin salah saya? tapi terserah karena saya tidak terlalu lapar.

Untuk makanannya sama dengan 4 tahun lalu, selalu ada saja masalah yang timbul dan selalu bervariasi. Menu sekarang, Nasinya belum matang & Tempenya rasanya aneh (kurang enak). Walaupun begitu saya males ke kitchen dan memilih mengetik review ini karena sudah menunggu lama, dapetnya ngga sesuai walaupun harganya juga merakyat. Tapi kalo gitu terus bukannya mending cari coffeshop lain yang lebih terjangkau yah, banyak kok😉.

Terakhir saya minta maaf kalau ada kesalahan dalam bertutur kata, karena saya juga bukan pelanggan baru, saya sudah 4 tahun kenal Bento Kopi dan Bento Kopu terbaik tetap di Bento Kopi Jakal. Sukses selalu buat bosnya, semoga kesalahan kesalahannya tidak ada lagi karena saya sudah pasrah dan siap mencatat review lagi kalau lain kali saya ke Bento Kopi lagi."
5.0,2 bulan lalu,"Salah satu cabang bento kopi yang sering aku kunjungi. Selain karena dekat rumah, bento kopi jamal merupakan salah satu tempat yg nyaman untuk wfc maupun nongki nongki biasa. Harga makanannya murah, pilihan menunya cukup banyak, makanannya rasanya enak (beda cabang Bento Kopi rasa masakannya juga beda). Selain itu parkirannya juga luas, motor mobil muat banyak. Mas & mbak karyawannya ramah. Tempat duduk ada yang indoor ada yang outdoor, bebas milih deh senyamannya kita karena Bento Kopi Jamal tempatnya cukup luas. Banyak mahasiswa yg nugas disini. Semoga Bento Kopi Jamal sukses selalu yaa"
1.0,2 bulan lalu,"Datang kesini jam 16 : 11, ber 3 sama temen saya, tdinya mau pesan dlu cuman teman saya mau cari tempat duduk dulu, waktu mau pesan di kasir udah pilih semua yang mau dibeli, pas mau Payment ternyata Handphone saya baru habis data, saya pakai lah Wifi sana ternyata memang tidak berfungsi sama sekali, berhubungan ada yang mau pesan  juga, saya minta punya saya di keep dlu (Tetap mau bayar yg dipesan), dan dilanjutkan dengan org lain yg mau pesan karena saya tunggu teman saya mau ambil Hp buat hospot, dari situ salah satu karyawan di area kasir yg tidak pakai hijab nya ngomong dgn juteknya, (Ohh asal di bayar aja sihh..)
Karena teman saya yg dengar dan info ke saya langsung, kalau saya yg dengar langsung udah saya tegur langsung depan muka nya, brasa takut gak bisa bayar aja kali.
Snack Tahu bakso nya (udah asam) gak tau stock kapan, di cek"" lagi dah, udah tekturnya juga aneh gtu..

9 bulan lalu saya juga makan disini pesan nasi ricebowl 2, yang datang juga hidangan nasi dingin, sekarang nemu lagi manusia modelan bed attitude, tolong di evaluasi lagi karyawan nya.!!"
5.0,3 bulan lalu,"Salah satu coffee shop yang recommended di Jogja. Tempat nya luas dengan banyak meja tersedia. Ada ruangan indoor dan outdoor nya juga. Parkiran juga cukup banyak untuk mobil dan motor. Pesen kopi aren dan beberapa makanan dan rasa nya cukup enak, worth the money. Yang jelas harga nya murah dibanding coffee shop lain. Good!"
5.0,4 bulan lalu,"Tempat yang luas & oke untuk nongki ato kerjain tugas. Harga cukup murah. Sayang waktu ke sini wifi nya baru off.
Ada indoor ber AC. Outdoornya lebih luas. Kopi susu gula arennya & pisgornya enak."
5.0,6 bulan lalu,"Sejauh ini menurut saya bento Jamal adalah cabang bento paling nyaman. Tempatnya luas, Cozy comfy comfort. Cocok buat segala macam situasi dan kondisi. Oke buat ngumpul rame2 seperti nugas kelompok, rapat organisasi, mabar-mabar, atau nongkrong2 yg melibatkan banyak org. Buat nongki2 yg nggk ramean juga masih oke, bagian indornya nggk terlalu rame, ada space out door bagian depan juga yg nggk terlalu rame. Milk basednya recommend. Must try banget yg hot almond, ada aroma smokeynya yg ngasih sensasi yg khusus. Nasi telur sambel Lamongannya no complain dr segi rasa. Tapi dr segi harga jatohnya agak too pricey, karena gak ada yg spesial, enak biasa aja. Pelayanannya satset, cekatan, ramah, komunikatif dan murah senyum. Toiletnya bersih dan nggk bau. Mushollanya juga bersih. Parkirannya luas, ada kang parkir yg helpful."
4.0,5 bulan lalu,"Kopinya rasa standar aja di harga 18rebu gak terlalu strong kopinya, suasananya nyaman enak buat nongkrong n ngumpul wifi lumayan ngebut kalau malem kedengeran suara jangkrik"
5.0,6 bulan lalu,"Di bulan Agustus saya datang ke sini bisa lebih dari 3 kali dalam seminggu. Kesan terbaik dari Bento Kopi di Jln. Magelang ini adalah PELAYANAN yang bagus.

Pelayanan: Kasir dan staf lainnya ramah. Sering senyum dari awal kita pesan atau saat minta izin akan membersihkan meja. Saya pernah di 4 cabang lainnya, tapi di sini menurut saya pelayanan terbaik. Di sini selalu ditawarkan mau pilih size M atau L.

Tempat: Di banding Bento Kopi lainnya cabang Jln. Magelang ini termasuk yang nyaman dan bagus. Desain eksterior nya modern. Saat masuk interior nya diisi warna putih dan hijau daun. Di letakkan tanaman hias di banyak sudut ruangan. Kombinasi warna dan tanaman benar-benar membuat nyaman. Sederhananya Instagramable.

Makanan & Minuman: Rasanya tidak jauh berbeda dari Bento Kopi lainnya. Menurut saya yang membedakan adalah harga. Di sini harganya cenderung lebih mahal 1-3 ribu dari Bento Kopi lain (Klebengan, Nologaten, Godean, Maguwoharjo)

Oiya di sini tidak ada live music ya meskipun ada panggung. Jadi music hanya diputar melalui sound speaker yang diletakkan di beberapa sudut atas ruangan. Bagi yang kurang suka distraksi, mungkin tempat ini cocok sekali. Tinggal pilih bagian luar yang agak jauh dari sound saja.

Di bulan Oktober 2024 saya amati ada peningkatan signifikan dari jumlah pengunjung nya. Jadi jangan kaget ya kalau sore-malam hari ke sini akan penuh. Kalau yang tidak suka rame mungkin bisa coba ke Bento PLUS atau Bento Reserve (bener-bener bari launching)."
5.0,5 bulan lalu,"lumayan sering dateng kesini dan blm pernah dapet pelayanan yang bad, semuanya baik2 saja. pertahankan yaa, karna rasanya enak, murah, tempatnya juga nyaman 👍🏻"
5.0,5 bulan lalu,"Cukup sering ke sini. Cocok buat tempat kumpul, komunitas, organisasi, belajar kelompok, maupun bekerja.

Karena itu jadi cukup ramai riuh, it's okay, but, volume musik di speakernya masih terlalu kenceng jadi kasihan buat yang ngobrol jadi terdistraksi dan yang pengen dengerin musik sendiri jadi terganggu.

Overall good 👍"
5.0,3 bulan lalu,"Tempat luas, bersih asik buat nongkrong
Makanannya enak banyak pilihannya
Harga terjangkau"
5.0,4 bulan lalu,Tempat yang nyaman buat nugas atau WFC. Suasananya tenang dan nggak terlalu jauhbdari pusat keramaian. Colokan listrik banyak dan wifinya juga lumayan kenceng.
4.0,6 bulan lalu,"Kesini waktu siang buat kerja. Mbak kasir agak kecapekan ngadepi pelanggan sepertinya.

Tempat cozy dan soket banyak. Mirip warnet tapi ini kafe. Not that special but enjoy my time here"
5.0,4 bulan lalu,"tempatnya enak buat nugas, harga makanan & minuman murah murah banget, suasananya nyaman."
3.0,6 bulan lalu,"semua minuman pesen disini oke, tapi jangan beli tahu dadu ga worth it, 12rb cuma segitu isi 8"
5.0,5 bulan lalu,"Bersih, suasana nyaman dan luas, minuman dan makanan enak tapi memang ke arah gen z"
5.0,10 bulan lalu,"Walau agak kaget karena indoor nggak ada yang pakai bean bag, tapi untung masih ada sofa, termasuk sofa panjang yang empuk dan nyaman. Soal suasana, Bento Kopi selalu juara sih! Cuma sayang aja, di sini bingung mau buang sampah di mana, ditambah kecepatan wifi nya nggak cepat. Padahal orangnya juga nggak begitu ramai.

Saran, tambahkan media pembayaran kartu debit dan kredit."
5.0,setahun lalu,"tempatnya luas, cocok buat nugas/kerja karna klo pagi/siang sepi ga terlalu rame/brisik. Ada indoor sama outdoor aman bgt buat yg gasuka asap rokok. banyak pilihan minuman sama makanannya!!! WORTH IT SIHH KATA GUEE!!!"
5.0,7 bulan lalu,"suasana nyaman, service oke, tapi pas beli makanan berat nasinya masih aga keras. mungkin sy pesan diwaktu yg kurang tepat hehe"
3.0,8 bulan lalu,"#reviewerbolang

•Makanan :
- Untuk Nasi ayam geprek, bukan beneran di geprek, hanya di penyek 1x lalu sambalnya diatas. Porsi daging tidak terlalu banyak.
- Nasi chicken Egg teriyaki, chicken rata"" tepung bukan daging. Scrambled eggnya hambar, tidak ada rasa.
- Nasinya sama"" agak keras.

• Minuman :
- 2-2nya so-so sesuai dengan harga.

Parkir luas."
5.0,setahun lalu,Pertama kali kesini sekedar mampir dari JCM. Tempat luas jadi nyaman dan gak panas walau siang hari angin sepoi-sepoi sejuk dihati. Minuman dan makanan standar warung kopi. Harga ramah dikantong. Bisa buat nongkrong sambil garap² tugas pekerjaan. Sukses selalu
4.0,4 bulan lalu,"tampilan sudah beda dari terakhir kesini, kalo untuk makanan ya standar lah .. penting nyaman aja buat nongkrong"
3.0,11 bulan lalu,"outdoor oke, indoor wah panas bgt tidak seperti sebelum renovasi, ruangannya luas cuma kurang ac, makanan oke standard, untuk di indoor kursinya banyak cuma kurangnya stopkontak. tolong di beri tambahan ac ya agar lebih nyaman"
