rating,date,snippet
4.0,3 bulan lalu,"Tempatnya luas, mejanya jg luas² banyak muda mudi nongkrong ngerjain tugas.
Harga lumayan murah tapi rasanya sangat standar. Lele gorengnya terlalu kering."
5.0,2 bulan lalu,"Tempat yang cozy buat nongkrong. Lokasi cukup dekat di kawasan scbd jogja. Parkir luas dan cafenya juga luas. Rasa kopinya oke dan makanannya juga murah-murah. Tempat yang asik buat kumpul, nugas, atau ngerjain kerjaan. Buat foto-foto juga oke. Bisa jadi salah satu list cafe buat kumpul banyakan."
5.0,2 bulan lalu,"Makanan murah, parkir gratis, banyak tempat duduk. Cocok buat nongkrong2 dan nugas"
4.0,3 bulan lalu,"WFC langganan bareng temen dari dulu, murah dan yang paling penting buat kerjaan wifi stabil bangettttt ealooun tempatmya rame
enak buat meeting atau kerja remote dengan cloud

makanan rasa biasa aja, pelayanan oke"
5.0,9 bulan lalu,"Sering lewat jalan deket sini tapi baru tau tempat ini dari google maps.
Tempatnya agak ke dalam soalnya. Masuk gang.
Tapi tempat parkirnya luas.

Waktu kesini rame banget yang dateng.
Penuh tempatnya. Tapi gak sumpek. Karena tempatnya cukup luas dan terbuka. Masih banyak pohon2 di sekitarnya.

Disini bisa pilih duduk di kursi atau lesehan (ada di belakang)
Wi fi ada. Colokan juga ada.

Kesini pesen Rice Bowl Katsu Blackpaper & Cappucino ice + es krim. Rasanya cukup enak.

Ada mushola juga. Toliet juga ada."
5.0,2 bulan lalu,"Tempat nya lumayan enak buat nugas, tapi selalu ramai"
5.0,setahun lalu,"Tempatnya luas, ada lesehannya juga dibagian belakang. suasananya cukup enak adem ga gerah karena banyak tumbuhan disekitarnya.
untuk pelayanan bagus ramah dan cepat.

disini juga ada mushollah jadi udah aman bnget pastinya pas tiba waktu sholat ga perlu was was lagi, disini di sediain banyak kran air untuk wudhu jadi ga perlu gantri, tapi mungkin emang karena tempat umum jadi ga dipisah khusus untuk pria ataupun wanita dan toiletnya ada 3 jadi ga ngantri juga.

Untuk makanan dan minumannya ada banyak macam pilihan dengan harga yang cukup standar tidak begitu mahal, kecepatan wifinya juga bagus.

Ada live musik juga pas malam tempatnya cocok banget buat mahasiswa yang mau nongkrong, ngerjain tugas, diskusi, rapat dan lain sebagainya sambil nyantai.

Untuk parkir gratis dan halaman untuk parkir juga luas banget."
3.0,seminggu lalu,"Masih jam 00.45 mendadak waitres ambil piring 2 yg kosong,, gpp sih klo yg diambil yg kosong tp klo yg masih ada isinya diambil jg sih kyk na kurang layak ya,, apalagi kita masih kumpul loh g cuma satu dua orang..."
5.0,setahun lalu,"Tempatnya luas, ada banyak tempat duduk (kursi dan lesehan), cukup nyaman, cocok buat nugas atau kumpul-kumpul, banyak stopkontak juga yang tersedia hampir di setiap meja, dan masih tergolong tenang meskipun saat ramai. Fasilitasnya lengkap, tempat parkir luas untuk mobil dan motor, ada toilet, dan mushola yang cukup luas. Arsitekturnya dominasi kayu dengan warm light saat malam hari, jadi nuansanya terasa lebih nyaman. Menunya juga lumayan enak, worth the price."
5.0,4 minggu lalu,"Udah nyaman banget tempatnya saat malam selama gak hujan. Parkiran banyak dan SANGAT DISARANKAN pakai motor aja!!

Suka ngantri karena orangnya ramai dan banyak yang saat pesan belum tau mau beli apa😄.

Cocok untuk segala kalangan!"
5.0,4 bulan lalu,"harga terjangkau, banyak menu, suasana nyaman, kadang ada live music"
5.0,setahun lalu,"Pertama kesini waktu pagi hari, sekitar jam 9/10an
Lokasi masuk gang tapi parkiran luas sekali
Parkir motor dan mobil muat banyak

Tempat duduk juga banyak banget ya
Ada kamar mandi bersih dan tempat sholat di lokasi

Pemesanan dan pembayaran di awal, bisa bayar dengan qris dan cash

Menu bervariasi sekali
Baik makanan maupun minuman
Kemarin memesan 2 minuman, 1 pisang goreng dan tahu walik, habis biaya sekitar 30ribu an

Ada free wifi yaa

Pelayanan cepat,
Makanan minuman enak2
Pegawai tanggap dan informatif"
5.0,3 bulan lalu,Rame bgt tp Krn perginya SM yg tersayang JD cm fokus di dia aja
4.0,2 tahun lalu,"Tempat yang cocok untuk nongkrong berlama2. Area luas. Pilihan menu makanan, minuman hingga snack bervariasi. Harga relatif terjangkau. Penyajian pesanan cukup cepat meski kondisi cukup ramai saat saya berkunjung, rasa cukup oke. Suasana khas tongkrongan dengan bangunan semi terbuka. Area parkir memadai serta tidak dipungut biaya"
