rating,date,snippet
2.0,2 bulan lalu,"Overall enak semua menunya, soalnya kalo nongkrong selalu di kobesah, tapi jujur kali ini kecewa sama nasi gorengnya knp dikit banget, minta tolong dibanyakin lagi porsinya, udah sempet komplain katanya udah takarannya tapi tolong kalo bisa di upgrade lagi yaa🙏🏻"
5.0,11 bulan lalu,"Yang aku suka disini parkiran mobil dan motor luas dan free. Makanan dan minuman rumahan dengan harga yang terjangkau di kantong mahasiswa. Ada wifi, mushola, area lesehan, dan live pada malam2 akhir pekan. Cocok untuk nongkrong/rapat dg durasi lama sambil pesen berkali-kali haha"
5.0,5 bulan lalu,"Kafean murah yg cukup nyumi haha, kopi kobesah selalu juara di harga segitu (ekonomis parah) makannya so guud sih porsiannya selalu buanyaaaaaaaaaaak bisa buat sahur sampe buka wkwkwk, ambience nya rame berisik emang bukan buat nugas sih, kesini emang asik ya buat haha hihi adu nasib"
4.0,5 bulan lalu,"Dari aspek tempat, makanan, minuman, dan harga cukup oke. Hanya saja keramahan dari pegawai perlu ditingkatkan lagi agar lebih ramah ke customer."
5.0,setahun lalu,"Review yang pasti adalah murah dengan rasa yang lumayan
Suasana tidak panas meski siang terik, banyak colokan di tiap mejanya, tempatnya luas, parkiran juga mencukupi. Parkir mobil ada di depan, sedang utk motor di belakang, masuk melewati area tempat duduk, free parkir"
5.0,10 bulan lalu,"Makanannya enak dan pisang goreng joss gandos, serta pelayanan bagus dan ramah.
Tempat parkir motor luas, tempat parkir mobil nyaman walaupun hanya menampung sekitar 10 mobil. Parkir disini gratis serta ada pelayanan parkir yang memberikan aba2 agar parkirnya masuk garis kuning yang sudah disediakan."
4.0,setahun lalu,"Minggu, 1 Oktober 2023
Ngopi/nongkrong bareng suami dan anak, dateng sekitar jam 7 malam. Pesan bisa langsung di kasir sekalian proses pembayaran. Tapi kita minta menu dulu biar bisa pilah pilih makan dan minum nya. Pesen minum es kopi caramel, jus avocado dan kopasus (kopi susu) lalu untuk makan nya nasi goreng spesial, kentang goreng dan mendoan. Untuk yang saya pesan ini penyajian nya cukup cepat dan kondisi cukup banyak pengunjung. Untuk rasa, es kopi caramel nya enak lalu jus avocado entah kurang apa anak saya kurang suka, nah kalo kopasus ini menurut saya kopinya banyak bangett sampek susunya gak berasa 😂 saking pait nya gak saya minum jadinya.
Lalu untuk makanan nya nasi goreng yang menurut saya cepet banget penyajian nya, dateng bersamaan dengan snack² yang saya pesan.
Untuk tempat luas, parkir mobil di depan kemudian parkir motor bisa di belakang. Tempat cocok untuk nggarap² tugas ngobrol santai bareng temen². Kalo untuk bawa bocil kurang rekomen."
4.0,setahun lalu,"Selalu suka tiap kerja disini. Wifi cepat. Kondusif.

Pegawai tanggap. Makanan enak. Harga standar. Parkir gratis dan luas.

Sayang banyak ulet bulu di kobesah nglaban dan si meja pengunjung 😭"
3.0,8 bulan lalu,"Biasanya ke cabang seturan tp karna di sana brisik coba"" pindah ke cabang sini. Sebenere seneng sama menunya kobessah selalu enak"" dicabang satunya, dicabang ini juga enak tapi ada beberapa yang perlu diperbaiki :
1. Nasinya keras,  kek nasi buat nasgor tapi ini teksturnya lebih keras seperti kureng air jd bikin gak nafsu makan
2. Jamurnya gosong jadi pahit
3. Temen saya pesen nasi jamur sambal bawang tapi ada lalat dibawahnya mana udah kemakan setengah. Tapi respect sih minta ganti baru beneran diganti sambelnya
4. Suasananya ga terlalu rame tapi gedeg banget banyak nyamuk, semut item gede, dan kucing berkeliaran sampe naik kursi. Agak kecewa sih tadi mau mintol mas pelayan buat usir kucing malah dia pura"" gak denger pas dipanggil dan langsung cabut gitu aja.
Untuk balik lagi ke sini? Gak deh cukup pertama dan terakhir kalii."
4.0,2 tahun lalu,"Tempat nongkrong sambil nugas bareng temen atau sendiri juga bisa. Tempat luas. Parkiran juga lumayan luas. Motor parkir di belakang. Pilihan menu lumayan banyak. Harga standar. Pesan di kasir langsung bayar, dapat nomer antrean, lalu tunggu pesanan diantar ke tempat duduk yg dipilih. Banyak colokan jadi ga usah khawatir batre low"
