rating,date,snippet
5.0,sebulan lalu,"Alhamdulillah pertama kali kesini untuk bukber sama teman, dan makanan nya sangat murah dan enak sekali worth it untuk anak kuliahan, pelayanannya juga baik, cepat. Susananya menyenangkan dan bagus banget apalagi malam malam"
5.0,2 bulan lalu,"Area luas, tempat nyaman, kursi banyak, lesehan juga ada, ruangan ber AC juga ada, Wi-Fi juga ada, Musholla cukup luas, parkir bayar, sayangnya belum bisa bayar dengan QRIS"
5.0,6 bulan lalu,"Kobessah kopi salah satu tempat nongki favorit.

Selain tempatnya luas dan nyaman buat ngobrol2 bareng temen. Harga makanan dan minumannya juga ramah di kantong. Masih terjangkau buat kita2.
Sering pesen ricebowl katsu blackpaper.
Minumnya coklat kalau gk kopi.

Pelayanannya bagus. Ramah2 dan lumayan cpet.

Tempat parkir juga luas. Nyaman.
Lokasi gampang dicari. Jd jangan khawatir nyasar"
5.0,2 bulan lalu,"pelayanan cepat dan ramah, harga cukup terjangkau, makanan dan minumannya enak, tempatnya asik buat nongkrong"
5.0,6 bulan lalu,"Pelayanan bagus. Makanan enak dan minuman juga lumayan. Harganya ramah dikantong. Tempatnya luas dan bersih, ada area kursi dan lesehan.. Area parkirpun luas. Wifi aman lancar sentosa. Mushola dan kamar mandi juga bersih, tapi mukena di mushola mohon diperhatikan lagi ya."
5.0,2 bulan lalu,"Penyajian dan rasa kopi tubruknya khas daerah jawa timur.
Harga cocok untuk mahasiswa dan rasanya juga lumayan enak.
Penyajian juga lumayan cepat."
4.0,seminggu lalu,"Tempat asiik buat ngumbar anak...
Harga terjangkau, tempat nyaman, luas n bersih. Waiters nya ramah n gercep. Jdi suka bgt kesini. Tapi suka males kalo ke kasir. Alangkah lbh baiknya, sistem kasir mengkordinasi ke pihak kitchen gak perlu teriak2. Customer bru ngomong lgsg teriak ke kitchen.  Smga lbh baik lagi yaaa"
4.0,3 bulan lalu,Tempat lumayan bersih. Sedikit kurang nyaman kalau duduk dekat kasir karena menerima pesanannya yang unik dengan berteriak. Tapi kembali ke selera masing-masing.
5.0,6 bulan lalu,"Pelayanannya bagus, tempat bersih, makanan juga enak. Saya juga sebelumnya udah coba nongki juga di kobessah godean, dan yang di uad ini untuk pelayanan, tempat, dan makanan juga ga kalah bagus.
Selain itu harganya juga terjangkau untuk mahasiswa."
4.0,3 bulan lalu,Tempat lumayan bersih. Sedikit kurang nyaman kalau duduk dekat kasir karena menerima pesanannya yang unik dengan berteriak. Tapi kembali ke selera masing-masing.
1.0,2 minggu lalu,"Dear Kobessah, saya salah satu pelanggan setiamu disini. Mohon AC nya dibersihkan lah sekali2, sejak Agustus 2024 - Sekarang udaranya berdebu sekali.

Ruangan ber AC namun udara sangat berdebu dan pengap."
5.0,6 bulan lalu,"Harganya murah bngtt, pas buat kantong mahasiswa. Tempatnya luass dan banyak spotnya. Wifinya lancar jaya. Tempatnya rame terus. Mostly tempatnya outdoor yg indoor ngga terlalu luas."
5.0,8 bulan lalu,"Sudah 1 bulan di jogja nyobain beberapa angkringan & kafe ini yg paling murah dan pelayanan cepet, baru milih tempat duduk makanan sudah jadi. banyak mahasiswa jg yg ngerjain tugas disini. Ada live music kalo malam. Rice bowlnya mantul 👍🏼"
5.0,11 bulan lalu,"Nyaman dan bersih tempat nya.makanan dan minuman 👍🏼
Harga Mahasiswa
untuk kumpul bareng cocok.tersedian ruangan AC dan bisa reservasi untuk Acara."
5.0,5 bulan lalu,Harga sesuai untuk mahasiswa porsi lumayan rasa enak. Karyawannya baik sekali dan ramah sangat helpful.
5.0,10 bulan lalu,"Tempat nyaman bisa sambil mengerjakan tugas atau bisa buat nongki bareng teman atau keluarga. Banyak pilihan Menu bervariasi dr minuman,  snack dan makanan berat yg masih bisa diterima oleh anak². Tempat parkir luas. Ada live musiknya. Pelayanan Ramah."
5.0,sebulan lalu,"Tempat bagus banyak pilihan tempat duduknya ada ruang ac, lesehan dan juga kursi, disetiap tempat duduk ada colokan"
5.0,8 bulan lalu,"Konsep cafe bagus. Saat ini masih dalam proses pembangunan. Tempat nyaman dan luas. Makanan dan minuman sangat bervariasi. Ice coffee caramel recomended. Toilet ada 4 ada mushola juga. Parkir luas. Menurut saya, rasa ayam black peppernya agak light rasanya, tapi tetep mantap. Recomended buat dikunjungi.
-ry!Yk"
4.0,2 minggu lalu,"Menu lumayan variatif, tempat luas untuk nongki2, aman di kantong...."
3.0,seminggu lalu,"Saya pelanggan tetap di kobessah, biasanya saya duduk di area lesehan, tapi beberapa kali ini saya duduk di area dekat dengan toilet dan mushala. Keluhan saya setiap terdengar air di toilet pasti tercium bau septitank sampai mengganggu selera makan.
Sangat disayangkan karena saya sebagai pelanggan tetap harus merasakan ketidaknyamanan ini. Mohon untuk diresolusikan keluhan ini. Terima kasih"
5.0,setahun lalu,"Dari sekian cabang, yang di UAD ini saya kira Kobessah yang paling nyaman tempatnya. Selain tempat yang luas, terdapat pilihan ruangan tertutup dan terbuka. Jika ingin lesehan juga bisa di rerumputan bagian tengah. Terdapat panggung untuk pentas musik pula. Makanan dan minuman juga sangat enak, dengan harga yang relatif murah, khas Kobessah. Selain asik untuk nongkrong, juga cocok jika ingin digunakan tempat bekerja atau mengerjakan tugas. Terminal listrik juga banyak tersedia. Parkiran luas. Lokasinya juga relatif tenang karena tidak berada di pinggir jalan raya."
5.0,setahun lalu,"Tempat yang cocok banget untuk nongki, saya sering banget kesini buat nugas bareng temen2. Karena tempatnya yang nyaman ada indoor dan outdoor juga ada live music, apalagi parking area juga luas banget. Untuk harga juga sangat terjangkau, ramah di kantong.. 😁"
5.0,sebulan lalu,"Cash only atau tf bca
Lokasi luas, nyaman syahdu
Harga oke"
3.0,2 bulan lalu,"Luas, parkir jg luas.
Masakan hambar, pesen9 nasgor gak ada rasa bumbunya.
Live musiknya kenceng suaranya, buat yg mau ngobrol santai gak masuk, hrs teriak2 spy bisa omongan."
4.0,setahun lalu,"Nasi gorengnya agak hambar 6/10. Rice bowl katsu-nya terlalu asin 6/10.  Tahu walik dan minumannya standar 7/10.

Tempatnya luas dan nyaman. Ada yang indoor dan outdoor. Harga terjangkau."
5.0,7 bulan lalu,"tempat yg cocok untuk nugas, nongkrong, atau makan. harga terjangkau, suasananya tidak terlalu riuh. untuk malam jumat, sabtu, minggu sering ada live music, pelayanan ramah dan lumayan cepat"
5.0,setahun lalu,"Pertama kali kesini, untuk tempat dan suasana enak buat nongkrong nugas atau emg sekedar makan² aja. Tempatnya luas ada ruang AC, lesehan dan kursi, ada juga tempat live musik. Tempatnya juga samping sawah jadi cukup sahdu.
Untuk harga ya standar tempat nongkrong mahasiswa-an."
